date,note
1/18/23,manual mode
1/19/23,manual mode
1/20/23,manual mode
1/21/23,manual mode
1/22/23,manual mode
1/23/23,manual mode
1/24/23,manual mode
1/25/23,manual mode
1/26/23,manual mode
1/27/23,manual mode
1/28/23,manual mode
1/29/23,manual mode
1/30/23,manual mode
1/31/23,manual mode
2/1/23,manual mode
2/2/23,manual mode
2/3/23,manual mode
2/4/23,manual mode
2/5/23,manual mode
2/6/23,manual mode
2/7/23,manual mode
2/8/23,manual mode
2/9/23,manual mode
2/10/23,manual mode
2/11/23,manual mode
2/12/23,manual mode
2/13/23,manual mode
2/14/23,manual mode
2/15/23,manual mode
2/16/23,manual mode
2/17/23,manual mode
2/18/23,manual mode
2/19/23,auto mode
2/20/23,auto mode
2/21/23,auto mode
2/22/23,auto mode
2/23/23,auto mode
2/24/23,auto mode
2/25/23,auto mode
2/26/23,auto mode
2/27/23,auto mode
2/28/23,auto mode
3/1/23,sick
3/2/23,sick
3/3/23,better
3/4/23,better